TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-01,1,RTD,LESR,EN,41.976
2023-01-01,2,RTD,LESR,EN,-5.863
2023-01-01,3,RTD,LESR,EN,-54.224
2023-01-01,4,RTD,LESR,EN,19.609
2023-01-01,5,RTD,LESR,EN,8.992
2023-01-01,6,RTD,LESR,EN,581.266
2023-01-01,7,RTD,LESR,EN,1112.432
2023-01-01,8,RTD,LESR,EN,1043.191
2023-01-01,9,RTD,LESR,EN,6.937
2023-01-01,10,RTD,LESR,EN,-791.843
2023-01-01,11,RTD,LESR,EN,-1547.338
2023-01-01,12,RTD,LESR,EN,-1490.296
2023-01-01,13,RTD,LESR,EN,-1306.353
2023-01-01,14,RTD,LESR,EN,-1038.788
2023-01-01,15,RTD,LESR,EN,-807.722
2023-01-01,16,RTD,LESR,EN,-8.942
2023-01-01,17,RTD,LESR,EN,2130.068
2023-01-01,18,RTD,LESR,EN,1425.634
2023-01-01,19,RTD,LESR,EN,1371.147
2023-01-01,20,RTD,LESR,EN,890.16
2023-01-01,21,RTD,LESR,EN,626.254
2023-01-01,22,RTD,LESR,EN,676.152
2023-01-01,23,RTD,LESR,EN,351.355
2023-01-01,24,RTD,LESR,EN,234.095
2023-01-02,1,RTD,LESR,EN,786.91
2023-01-02,2,RTD,LESR,EN,765.972
2023-01-02,3,RTD,LESR,EN,409.581
2023-01-02,4,RTD,LESR,EN,589.009
2023-01-02,5,RTD,LESR,EN,578.905
2023-01-02,6,RTD,LESR,EN,245.702
2023-01-02,7,RTD,LESR,EN,328.389
2023-01-02,8,RTD,LESR,EN,154.196
2023-01-02,9,RTD,LESR,EN,-545.502
2023-01-02,10,RTD,LESR,EN,-1135.211
2023-01-02,11,RTD,LESR,EN,-607.963
2023-01-02,12,RTD,LESR,EN,-885.294
2023-01-02,13,RTD,LESR,EN,-466.895
2023-01-02,14,RTD,LESR,EN,127.501
2023-01-02,15,RTD,LESR,EN,156.277
2023-01-02,16,RTD,LESR,EN,411.301
2023-01-02,17,RTD,LESR,EN,280.641
2023-01-02,18,RTD,LESR,EN,816.825
2023-01-02,19,RTD,LESR,EN,304.907
2023-01-02,20,RTD,LESR,EN,2.13
2023-01-02,21,RTD,LESR,EN,130.26
2023-01-02,22,RTD,LESR,EN,135.283
2023-01-02,23,RTD,LESR,EN,-216.134
2023-01-02,24,RTD,LESR,EN,-235.26
2023-01-03,1,RTD,LESR,EN,-329.24
2023-01-03,2,RTD,LESR,EN,-664.612
2023-01-03,3,RTD,LESR,EN,-1016.916
2023-01-03,4,RTD,LESR,EN,-961.669
2023-01-03,5,RTD,LESR,EN,-171.433
2023-01-03,6,RTD,LESR,EN,179.466
2023-01-03,7,RTD,LESR,EN,1421.442
2023-01-03,8,RTD,LESR,EN,613.268
2023-01-03,9,RTD,LESR,EN,-1285.293
2023-01-03,10,RTD,LESR,EN,-1596.979
2023-01-03,11,RTD,LESR,EN,-1872.621
2023-01-03,12,RTD,LESR,EN,-1608.09
2023-01-03,13,RTD,LESR,EN,-1243.471
2023-01-03,14,RTD,LESR,EN,72.32
2023-01-03,15,RTD,LESR,EN,208.36
2023-01-03,16,RTD,LESR,EN,2265.634
2023-01-03,17,RTD,LESR,EN,2237.695
2023-01-03,18,RTD,LESR,EN,2576.566
2023-01-03,19,RTD,LESR,EN,1767.573
2023-01-03,20,RTD,LESR,EN,1771.926
2023-01-03,21,RTD,LESR,EN,1540.648
2023-01-03,22,RTD,LESR,EN,845.619
2023-01-03,23,RTD,LESR,EN,210.535
2023-01-03,24,RTD,LESR,EN,-215.161
2023-01-04,1,RTD,LESR,EN,-668.16
2023-01-04,2,RTD,LESR,EN,-693.409
2023-01-04,3,RTD,LESR,EN,-889.497
2023-01-04,4,RTD,LESR,EN,-775.424
2023-01-04,5,RTD,LESR,EN,-363.212
2023-01-04,6,RTD,LESR,EN,87.927
2023-01-04,7,RTD,LESR,EN,588.813
2023-01-04,8,RTD,LESR,EN,288.061
2023-01-04,9,RTD,LESR,EN,-276.256
2023-01-04,10,RTD,LESR,EN,-873.34
2023-01-04,11,RTD,LESR,EN,-1504.27
2023-01-04,12,RTD,LESR,EN,-817.527
2023-01-04,13,RTD,LESR,EN,-644.719
2023-01-04,14,RTD,LESR,EN,-637.919
2023-01-04,15,RTD,LESR,EN,-1159.618
2023-01-04,16,RTD,LESR,EN,-92.13
2023-01-04,17,RTD,LESR,EN,994.798
2023-01-04,18,RTD,LESR,EN,1738.716
2023-01-04,19,RTD,LESR,EN,1432.396
2023-01-04,20,RTD,LESR,EN,1068.903
2023-01-04,21,RTD,LESR,EN,266.045
2023-01-04,22,RTD,LESR,EN,388.141
2023-01-04,23,RTD,LESR,EN,-37.39
2023-01-04,24,RTD,LESR,EN,-409.117
2023-01-05,1,RTD,LESR,EN,-419.168
2023-01-05,2,RTD,LESR,EN,-774.269
2023-01-05,3,RTD,LESR,EN,-910.803
2023-01-05,4,RTD,LESR,EN,-437.477
2023-01-05,5,RTD,LESR,EN,-376.527
2023-01-05,6,RTD,LESR,EN,1099.766
2023-01-05,7,RTD,LESR,EN,1492.096
2023-01-05,8,RTD,LESR,EN,783.328
2023-01-05,9,RTD,LESR,EN,455.342
2023-01-05,10,RTD,LESR,EN,-347.299
2023-01-05,11,RTD,LESR,EN,-1026.037
2023-01-05,12,RTD,LESR,EN,-1281.719
2023-01-05,13,RTD,LESR,EN,-1102.221
2023-01-05,14,RTD,LESR,EN,-1116.601
2023-01-05,15,RTD,LESR,EN,-758.424
2023-01-05,16,RTD,LESR,EN,-0.903
2023-01-05,17,RTD,LESR,EN,842.488
2023-01-05,18,RTD,LESR,EN,1056.736
2023-01-05,19,RTD,LESR,EN,693.345
2023-01-05,20,RTD,LESR,EN,463.148
2023-01-05,21,RTD,LESR,EN,341.932
2023-01-05,22,RTD,LESR,EN,132.704
2023-01-05,23,RTD,LESR,EN,113.658
2023-01-05,24,RTD,LESR,EN,-15.454
2023-01-06,1,RTD,LESR,EN,-340.587
2023-01-06,2,RTD,LESR,EN,-343.661
2023-01-06,3,RTD,LESR,EN,-632.746
2023-01-06,4,RTD,LESR,EN,-95.899
2023-01-06,5,RTD,LESR,EN,919.291
2023-01-06,6,RTD,LESR,EN,1610.578
2023-01-06,7,RTD,LESR,EN,2130.931
2023-01-06,8,RTD,LESR,EN,902.985
2023-01-06,9,RTD,LESR,EN,-718.295
2023-01-06,10,RTD,LESR,EN,-1448.081
2023-01-06,11,RTD,LESR,EN,-1658.3
2023-01-06,12,RTD,LESR,EN,-2018.669
2023-01-06,13,RTD,LESR,EN,-1630.481
2023-01-06,14,RTD,LESR,EN,-862.77
2023-01-06,15,RTD,LESR,EN,-339.51
2023-01-06,16,RTD,LESR,EN,354.972
2023-01-06,17,RTD,LESR,EN,1800.15
2023-01-06,18,RTD,LESR,EN,2084.467
2023-01-06,19,RTD,LESR,EN,1482.639
2023-01-06,20,RTD,LESR,EN,1153.115
2023-01-06,21,RTD,LESR,EN,870.003
2023-01-06,22,RTD,LESR,EN,537.989
2023-01-06,23,RTD,LESR,EN,94.427
2023-01-06,24,RTD,LESR,EN,-116.63
2023-01-07,1,RTD,LESR,EN,-32.006
2023-01-07,2,RTD,LESR,EN,-342.099
2023-01-07,3,RTD,LESR,EN,-92.812
2023-01-07,4,RTD,LESR,EN,-62.89
2023-01-07,5,RTD,LESR,EN,-87.541
2023-01-07,6,RTD,LESR,EN,-54.708
2023-01-07,7,RTD,LESR,EN,189.539
2023-01-07,8,RTD,LESR,EN,82.946
2023-01-07,9,RTD,LESR,EN,-446.043
2023-01-07,10,RTD,LESR,EN,-17.861
2023-01-07,11,RTD,LESR,EN,-1194.32
2023-01-07,12,RTD,LESR,EN,-1229.607
2023-01-07,13,RTD,LESR,EN,-843.008
2023-01-07,14,RTD,LESR,EN,-1068.193
2023-01-07,15,RTD,LESR,EN,-514.842
2023-01-07,16,RTD,LESR,EN,434.615
2023-01-07,17,RTD,LESR,EN,1551.83
2023-01-07,18,RTD,LESR,EN,1724.456
2023-01-07,19,RTD,LESR,EN,1312.749
2023-01-07,20,RTD,LESR,EN,1138.977
2023-01-07,21,RTD,LESR,EN,176.171
2023-01-07,22,RTD,LESR,EN,321.886
2023-01-07,23,RTD,LESR,EN,509.579
2023-01-07,24,RTD,LESR,EN,187.491
2023-01-08,1,RTD,LESR,EN,-38.829
2023-01-08,2,RTD,LESR,EN,-56.224
2023-01-08,3,RTD,LESR,EN,-172.769
2023-01-08,4,RTD,LESR,EN,-171.655
2023-01-08,5,RTD,LESR,EN,368.64
2023-01-08,6,RTD,LESR,EN,199.123
2023-01-08,7,RTD,LESR,EN,152.54
2023-01-08,8,RTD,LESR,EN,51.782
2023-01-08,9,RTD,LESR,EN,-55.075
2023-01-08,10,RTD,LESR,EN,-1119.548
2023-01-08,11,RTD,LESR,EN,-1260.257
2023-01-08,12,RTD,LESR,EN,-1268.182
2023-01-08,13,RTD,LESR,EN,-956.161
2023-01-08,14,RTD,LESR,EN,-566.843
2023-01-08,15,RTD,LESR,EN,-596.851
2023-01-08,16,RTD,LESR,EN,713.967
2023-01-08,17,RTD,LESR,EN,1881.358
2023-01-08,18,RTD,LESR,EN,1920.67
2023-01-08,19,RTD,LESR,EN,1426.878
2023-01-08,20,RTD,LESR,EN,1091.3
2023-01-08,21,RTD,LESR,EN,254.976
2023-01-08,22,RTD,LESR,EN,298.167
2023-01-08,23,RTD,LESR,EN,167.727
2023-01-08,24,RTD,LESR,EN,76.11
2023-01-09,1,RTD,LESR,EN,-44.193
2023-01-09,2,RTD,LESR,EN,-284.838
2023-01-09,3,RTD,LESR,EN,-785.919
2023-01-09,4,RTD,LESR,EN,-811.502
2023-01-09,5,RTD,LESR,EN,-496.375
2023-01-09,6,RTD,LESR,EN,749.534
2023-01-09,7,RTD,LESR,EN,1592.955
2023-01-09,8,RTD,LESR,EN,1391.671
2023-01-09,9,RTD,LESR,EN,637.306
2023-01-09,10,RTD,LESR,EN,376.075
2023-01-09,11,RTD,LESR,EN,-366.588
2023-01-09,12,RTD,LESR,EN,-741.414
2023-01-09,13,RTD,LESR,EN,-203.367
2023-01-09,14,RTD,LESR,EN,-338.272
2023-01-09,15,RTD,LESR,EN,279.527
2023-01-09,16,RTD,LESR,EN,316.06
2023-01-09,17,RTD,LESR,EN,973.712
2023-01-09,18,RTD,LESR,EN,1343.623
2023-01-09,19,RTD,LESR,EN,1009.339
2023-01-09,20,RTD,LESR,EN,651.286
2023-01-09,21,RTD,LESR,EN,238.023
2023-01-09,22,RTD,LESR,EN,-285.764
2023-01-09,23,RTD,LESR,EN,-270.823
2023-01-09,24,RTD,LESR,EN,-196.876
2023-01-10,1,RTD,LESR,EN,-415.918
2023-01-10,2,RTD,LESR,EN,-603.722
2023-01-10,3,RTD,LESR,EN,-927.661
2023-01-10,4,RTD,LESR,EN,-674.786
2023-01-10,5,RTD,LESR,EN,-331.331
2023-01-10,6,RTD,LESR,EN,290.035
2023-01-10,7,RTD,LESR,EN,1415.302
2023-01-10,8,RTD,LESR,EN,702.776
2023-01-10,9,RTD,LESR,EN,320.083
2023-01-10,10,RTD,LESR,EN,-409.396
2023-01-10,11,RTD,LESR,EN,-1006.275
2023-01-10,12,RTD,LESR,EN,-1060.859
2023-01-10,13,RTD,LESR,EN,-1335.52
2023-01-10,14,RTD,LESR,EN,-649.294
2023-01-10,15,RTD,LESR,EN,-196.789
2023-01-10,16,RTD,LESR,EN,202.373
2023-01-10,17,RTD,LESR,EN,1716.922
2023-01-10,18,RTD,LESR,EN,2147.604
2023-01-10,19,RTD,LESR,EN,1672.015
2023-01-10,20,RTD,LESR,EN,1068.107
2023-01-10,21,RTD,LESR,EN,840.312
2023-01-10,22,RTD,LESR,EN,447.022
2023-01-10,23,RTD,LESR,EN,220.731
2023-01-10,24,RTD,LESR,EN,175.719
2023-01-11,1,RTD,LESR,EN,-30.033
2023-01-11,2,RTD,LESR,EN,-15.886
2023-01-11,3,RTD,LESR,EN,-608.365
2023-01-11,4,RTD,LESR,EN,-349.859
2023-01-11,5,RTD,LESR,EN,393.053
2023-01-11,6,RTD,LESR,EN,1212.449
2023-01-11,7,RTD,LESR,EN,1907.301
2023-01-11,8,RTD,LESR,EN,912.755
