TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-01,1,RTD,LESR,SOC,6524.477166666667
2023-01-01,2,RTD,LESR,SOC,6460.8964166666665
2023-01-01,3,RTD,LESR,SOC,6465.033666666666
2023-01-01,4,RTD,LESR,SOC,6460.2164999999995
2023-01-01,5,RTD,LESR,SOC,6428.138083333334
2023-01-01,6,RTD,LESR,SOC,6564.830416666667
2023-01-01,7,RTD,LESR,SOC,6379.488416666667
2023-01-01,8,RTD,LESR,SOC,5441.492833333333
2023-01-01,9,RTD,LESR,SOC,5108.654416666667
2023-01-01,10,RTD,LESR,SOC,5420.17125
2023-01-01,11,RTD,LESR,SOC,6480.063916666666
2023-01-01,12,RTD,LESR,SOC,7935.73475
2023-01-01,13,RTD,LESR,SOC,9182.624083333334
2023-01-01,14,RTD,LESR,SOC,10485.979416666667
2023-01-01,15,RTD,LESR,SOC,11323.991666666667
2023-01-01,16,RTD,LESR,SOC,11918.287666666665
2023-01-01,17,RTD,LESR,SOC,11697.821750000001
2023-01-01,18,RTD,LESR,SOC,10149.732
2023-01-01,19,RTD,LESR,SOC,8695.889333333334
2023-01-01,20,RTD,LESR,SOC,7584.316333333333
2023-01-01,21,RTD,LESR,SOC,6730.789833333333
2023-01-01,22,RTD,LESR,SOC,5956.935666666667
2023-01-01,23,RTD,LESR,SOC,5196.361833333333
2023-01-01,24,RTD,LESR,SOC,4733.390916666666
2023-01-02,1,RTD,LESR,SOC,4138.566583333333
2023-01-02,2,RTD,LESR,SOC,3330.2028333333333
2023-01-02,3,RTD,LESR,SOC,2524.4403333333335
2023-01-02,4,RTD,LESR,SOC,1991.06275
2023-01-02,5,RTD,LESR,SOC,1663.5891666666666
2023-01-02,6,RTD,LESR,SOC,1518.086
2023-01-02,7,RTD,LESR,SOC,1506.2225
2023-01-02,8,RTD,LESR,SOC,1307.1881666666666
2023-01-02,9,RTD,LESR,SOC,1474.6038333333333
2023-01-02,10,RTD,LESR,SOC,2161.9525
2023-01-02,11,RTD,LESR,SOC,2698.972333333333
2023-01-02,12,RTD,LESR,SOC,3407.9258333333332
2023-01-02,13,RTD,LESR,SOC,4188.973333333333
2023-01-02,14,RTD,LESR,SOC,4289.887916666667
2023-01-02,15,RTD,LESR,SOC,4165.3575
2023-01-02,16,RTD,LESR,SOC,4216.384083333333
2023-01-02,17,RTD,LESR,SOC,4313.1199166666665
